adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,1,35,Acting,Sally Field,Sally Field,16.613,/5fBK36MdmdwQQMuP0W70rXADXih.jpg,11,Mrs. Gump,52fe420ec3a36847f800075f,3
False,2,34,Acting,Mykelti Williamson,Mykelti Williamson,12.922,/8TnU8lT8uJp97vKi5AluaQFuTZI.jpg,10,Benjamin Buford 'Bubba' Blue,52fe420ec3a36847f800075b,4
False,2,37821,Acting,Michael Conner Humphreys,Michael Conner Humphreys,6.807,/irYRs3COggVHg91jL3CrlCIWmnx.jpg,38,Young Forrest Gump,540b61f0c3a368799f001e2b,5
False,1,204997,Acting,Hanna Hall,Hanna Hall,14.111,/xkZ2Hwz1QLXvQCgGlWgVgx00Rtd.jpg,33,Young Jenny Curran,52fe420ec3a36847f8000785,6
False,2,109,Acting,Elijah Wood,Elijah Wood,18.547,/7UKRbJBNG7mxBl2QQc5XsAh6F8B.jpg,12,Frodo,52fe421bc3a36847f80046f7,0
False,2,1327,Acting,Ian McKellen,Ian McKellen,22.168,/5cnnnpnJG6TiYUSS7qgJheUZgnv.jpg,13,Gandalf,52fe421bc3a36847f80046fb,1
False,1,882,Acting,Liv Tyler,Liv Tyler,21.243,/jrOj6t9pH8TqO65pnsRuvRNhwqx.jpg,15,Arwen,52fe421bc3a36847f8004703,2
False,2,110,Acting,Viggo Mortensen,Viggo Mortensen,50.59,/vH5gVSpHAMhDaFWfh0Q7BG61O1y.jpg,14,Aragorn,52fe421bc3a36847f80046ff,3
False,2,1328,Acting,Sean Astin,Sean Astin,18.972,/5oJzy6Ra0tuMEV7mfxjtqye5qUX.jpg,18,Sam,52fe421bc3a36847f800470f,4
False,2,1333,Acting,Andy Serkis,Andy Serkis,26.126,/eNGqhebQ4cDssjVeNFrKtUvweV5.jpg,23,Gollum / Sméagol,52fe421bc3a36847f8004723,5
False,1,112,Acting,Cate Blanchett,Cate Blanchett,11.849,/vUuEHiAR0eD3XEJhg2DWIjymUAA.jpg,29,Galadriel,52fe421bc3a36847f800473b,6
False,2,126698,Acting,Kenji Nojima,Kenji Nojima,5.004,/nRSPVjDkdpnrQabnK5mENH118zN.jpg,3,Rihito Sajo (voice),57a62bb192514118b4001b58,0
False,2,93801,Acting,Hiroshi Kamiya,Hiroshi Kamiya,7.981,/u2r0u8tOa0cyh7nawcEOPpcEZr1.jpg,2,Hikaru Kusakabe (voice),57a62b9f92514118590019cf,1
False,2,9720,Acting,Hideo Ishikawa,Hideo Ishikawa,3.653,/gEjEDNGt3CHsyzFQdNqewZVbh0.jpg,4,Manabu Hara (voice),57a62bbd9251412ee300dbe3,2
False,2,11477,Acting,Ray Liotta,Ray Liotta,37.167,/jdwGJbJNSRQiG2kB5MJxiu2clCQ.jpg,17,Henry Hill,52fe4274c3a36847f801fd1f,0
