id,title,cast
17663,Anne of Green Gables,"[45446, 10559, 5605, 93643, 93644, 93645, 93646]"
655,"Paris, Texas","[5048, 2630, 923, 9892, 9893, 9894, 6394]"
832,M,"[2094, 12322, 12323, 12324, 79, 12325, 12326]"
38,Eternal Sunshine of the Spotless Mind,"[206, 204, 205, 103, 109, 207, 209]"
46738,Incendies,"[77498, 84573, 88592, 38526, 196737, 970213, 241930]"
280,Terminator 2: Judgment Day,"[1100, 2713, 820, 418, 3977, 2716, 3978]"
103663,The Hunt,"[1019, 4457, 1112385, 1188827, 47156, 6122, 588175]"
7345,There Will Be Blood,"[11856, 17142, 18916, 8785, 52564, 52565, 52566]"
359940,"Three Billboards Outside Ebbing, Missouri","[3910, 57755, 6807, 1105079, 37260, 572541, 22970]"
663558,New Gods: Nezha Reborn,"[2185754, 2974840, 2718152, 2463716, 2974841, 2974842, 2720411]"
334543,Lion,"[76788, 108916, 1371, 2227, 1750435, 1285715, 1296866]"
62,2001: A Space Odyssey,"[245, 246, 247, 253, 248, 249, 250]"
571265,Digimon Adventure: Last Evolution Kizuna,"[1256603, 1161472, 1498127, 1253008, 1606164, 1253972, 1247775]"
4348,Pride & Prejudice,"[116, 15576, 4154, 55636, 10882, 20089, 36662]"
529531,Hannah Gadsby: Nanette,[1434819]
146233,Prisoners,"[6968, 131, 49, 18288, 17142, 19492, 6832]"
337404,Cruella,"[54693, 7056, 54811, 1294982, 2983, 2163852, 1532312]"
387,Das Boot,"[920, 5228, 5229, 5230, 4924, 2349, 3970]"
10681,WALL·E,"[670, 72754, 60074, 20753, 7907, 11074, 10205]"
638507,How to Train Your Dragon: Homecoming,"[449, 59174, 17276, 24264, 54691]"
406,La Haine,"[1925, 5418, 5419, 5420, 72270, 5423, 5424]"
147,The 400 Blows,"[1653, 1654, 1655, 1658, 1659, 1660, 1661]"
7347,Elite Squad,"[52583, 52584, 52585, 52586, 469968, 12397, 575447]"
8392,My Neighbor Totoro,"[55664, 55662, 55663, 55665, 613, 55666, 553286]"
437068,A Taxi Driver,"[20738, 3491, 84996, 1530733, 587676, 150697, 150126]"
610461,"Veinteañera, Divorciada y Fantástica","[1641653, 1243464, 1415546, 2344290, 1405006, 1271517, 1043820]"
678580,El mesero,"[1415546, 2328501, 964038, 1318702, 1049536, 18468, 1240323]"
11423,Memories of Murder,"[20738, 69378, 69379, 1080904, 116180, 1299348, 1136064]"
11659,The Best of Youth,"[34491, 44646, 44110, 70234, 35106, 54230, 129077]"
11645,Ran,"[70131, 70132, 70133, 70134, 72607, 237362, 149405]"
42229,A Special Day,"[16757, 5676, 17580, 548631, 548632, 581716, 581717]"
8422,Rocco and His Brothers,"[15135, 27442, 6014, 54905, 22475, 6783, 1035580]"
1955,The Elephant Man,"[4173, 5049, 10774, 11857, 13325, 12517, 1821]"
780,The Passion of Joan of Arc,"[11589, 11590, 11591, 11586, 11595, 12748, 11596]"
381284,Hidden Figures,"[40036, 6944, 1005852, 1269, 205, 5374, 932967]"
893941,Misfit,"[1319077, 2640145, 1114252, 3541040, 3541044, 2678002, 1640511]"
55960,"Toto, Peppino, and the Hussy","[132190, 94418, 125357, 227385, 1038632, 132198, 37583]"
26022,My Name Is Khan,"[35742, 55061, 35792, 94567, 1605786, 52771, 94568]"
515001,Jojo Rabbit,"[2054851, 1356758, 1245, 55934, 6807, 221581, 71586]"
120467,The Grand Budapest Hotel,"[5469, 1164, 1291350, 8789, 3490, 5293, 4785]"
5801,Pather Panchali,"[45592, 45591, 13763, 13762, 45593, 1559031, 1409834]"
538362,On My Skin,"[1395660, 128426, 69489, 1312428, 2126785, 2126787, 928933]"
449176,"Love, Simon","[1108907, 9278, 19536, 1636738, 1253199, 116088, 1251875]"
118662,Decalogue I,"[1211520, 1211521, 2832, 1387, 589235, 32695, 1736841]"
615457,Nobody,"[59410, 935, 1062, 113332, 150, 11086, 5414]"
